timestep,x,y,theta,sdf_value,risk_margin_stage0,risk_margin_5,risk_margin_max,path_s,predicted_s,solver_status,planner_projected_s_raw,planner_projected_s,planner_slice_start_s,planner_slice_lookback,slice_start_s,slice_end_s,slice_start_idx,slice_end_idx,slice_n_segments
0,0.075,0.7949999999999999,-1.5707963267948966,0.029999956488609314,,,,0.012781250000000003,0.02231023881579847,0,0.011250000000000093,0.04125000000000009,0.011250000000000093,0.03,0.0,2.891614275999009,0,15,16
1,0.075,0.7826598772790299,-1.5707963218488885,0.0299999937415123,,,,0.023590122720970164,0.0321316560236467,0,0.023590122720970164,0.05359012272097016,0.023590122720970164,0.03,0.0,2.891614275999009,0,15,16
2,0.07500000005655971,0.7712244500437744,-1.5619986469066391,0.0293419249355793,,,,0.03502554995622564,0.04297120124473098,0,0.03502554995622564,0.06502554995622564,0.03502554995622564,0.03,0.0,2.891614275999009,0,15,16
3,0.07510543841813594,0.7592399674732826,-1.553453791006538,0.02860070951282978,,,,0.04072284009335482,0.0533705873424548,0,0.047010032526717434,0.07701003252671743,0.04701003252671743,0.03,0.0,2.891614275999009,0,15,16
4,0.0753881788862087,0.7429383075000379,-1.555897587034246,0.028499465435743332,,,,0.05533705873424548,0.0657426204377777,0,0.06331169249996216,0.09331169249996216,0.06331169249996216,0.03,0.0,2.891614275999009,0,15,16
5,0.0756001910505236,0.7287091525154175,-1.5320956362267224,0.026531683281064034,,,,0.07071782755472221,0.07805908656796368,0,0.07754084748458256,0.10754084748458256,0.07754084748458256,0.03,0.0,2.891614275999009,0,15,16
6,0.07603503215338908,0.7174787589143313,-1.530047833594616,0.025947032496333122,,,,0.07225738582099546,0.08529835222313137,0,0.0887712410856687,0.1187712410856687,0.0887712410856687,0.03,0.0,2.891614275999009,0,15,16
7,0.07663537709417846,0.702753978240967,-1.5494115883887103,0.0267711840569973,,,,0.08779475283346971,0.10055217183124812,0,0.10349602175903305,0.13349602175903305,0.10349602175903305,0.03,0.0,2.891614275999009,0,15,16
8,0.07699774240728877,0.6858115182892998,-1.5239397581568193,0.024538693949580193,,,,0.10509663007046842,0.11427229752213994,0,0.12043848171070028,0.1504384817107003,0.12043848171070029,0.03,0.0,2.891614275999009,0,15,16
9,0.07749279648128078,0.6752539437169061,-1.5103838288798952,0.023061120882630348,,,,0.1074976520663745,0.12123600707967604,0,0.130996056283094,0.160996056283094,0.130996056283094,0.03,0.0,2.891614275999009,0,15,16
10,0.07832742746732696,0.6614552200783466,-1.5054369882052792,0.022505737841129303,,,,0.12424720141593522,0.13426363127044916,0,0.1447947799216535,0.1747947799216535,0.1447947799216535,0.03,0.0,2.891614275999009,0,15,16
11,0.07902103361141109,0.6508581390986786,-1.4306470891151193,0.018178611993789673,,,,0.14270931703585105,0.14767706370122013,0,0.1553918609013214,0.1853918609013214,0.1553918609013214,0.03,0.0,2.891614275999009,0,15,16
12,0.07983391562494416,0.6450960465820293,-1.393885225452774,0.016134493052959442,,,,0.1457273393327745,0.155488982545278,0,0.16115395341797067,0.19115395341797067,0.16115395341797067,0.03,0.0,2.891614275999009,0,15,16
13,0.08166868686760048,0.6348333219872835,-1.386178079019754,0.01577572524547577,,,,0.1638722456363195,0.16993659021747423,0,0.17141667801271654,0.20141667801271654,0.17141667801271654,0.03,0.0,2.891614275999009,0,15,16
14,0.08319616717764389,0.6266538131580663,-1.3742424321869313,0.0153123140335083,,,,0.16748414755436855,0.17485464910120935,0,0.1795961868419337,0.2095961868419337,0.1795961868419337,0.03,0.0,2.891614275999009,0,15,16
15,0.08415242676044152,0.6218515006912422,-1.340769722085396,0.014130957424640656,,,,0.16871366227530232,0.1817620479323985,0,0.18439849930875785,0.21439849930875785,0.18439849930875785,0.03,0.0,2.891614275999009,0,15,16
16,0.08778452452008227,0.6063410781561019,-1.3278973681615678,0.013864003121852875,,,,0.19990892184389808,0.20699898865355815,0,0.19990892184389808,0.22990892184389808,0.19990892184389808,0.03,0.0,2.891614275999009,0,15,16
17,0.08986875768808317,0.5979298392222565,-1.2078973902959624,0.011949889361858368,,,,0.20832016077774354,0.21457878697481872,0,0.20832016077774354,0.23832016077774354,0.20832016077774354,0.03,0.0,2.891614275999009,0,15,16
18,0.09261999867136192,0.590684318805717,-1.1518472521344958,0.011207249015569687,,,,0.21556568119428302,0.22164021596257946,0,0.21556568119428302,0.24556568119428301,0.21556568119428302,0.03,0.0,2.891614275999009,0,15,16
19,0.0941944308603444,0.5871487528078491,-1.0883080163397165,0.010397784411907196,,,,0.21910124719215096,0.22573584821024348,0,0.21910124719215096,0.24910124719215096,0.21910124719215096,0.03,0.0,2.891614275999009,0,15,16
20,0.09840987114054242,0.5791006048911234,-1.0179798827793085,0.009879730641841888,,,,0.23010044033566784,0.23798676972814947,0,0.23010044033566784,0.2601004403356678,0.23010044033566782,0.03,0.2250000000000001,2.891614275999009,1,15,15
21,0.1025887831931748,0.5723275098286609,-0.9173981910960487,0.009467389434576035,,,,0.23782466924320383,0.24476454358630018,0,0.23620674512464435,0.2662067451246444,0.23620674512464437,0.03,0.2250000000000001,2.891614275999009,1,15,15
22,0.10909777754184667,0.5638254693866758,-0.860161858204674,0.009598948061466217,,,,0.25098822717931507,0.2579994366919625,0,0.2450703006058883,0.27507030060588833,0.24507030060588833,0.03,0.2250000000000001,2.891614275999009,1,15,15
23,0.1140994700635956,0.558013821942483,-0.7401618582051195,0.010212510824203491,,,,0.25165312705141024,0.2616528546784081,0,0.25165312705141024,0.2816531270514102,0.2516531270514102,0.03,0.2250000000000001,2.891614275999009,1,15,15
